System,Current_Periods,Gap_Start,Gap_End,Suggested_Periods,Confidence_Level,Quality_Score
"GJ 414 A",50.8000;749.8300,50.8000,749.8300,101.6000;203.2000;406.4000,MEDIUM,8.36
"Kepler-114",5.1885;8.0410;11.7760,5.1885,8.0410,7.7828,HIGH,5.66
"Kepler-114",5.1885;8.0410;11.7760,8.0410,11.7760,12.0615,HIGH,5.18
"Kepler-1321",2.2265;5.7209;11.1283,2.2265,5.7209,2.7831;3.4789;4.3486;5.4358,MEDIUM,9.55
"Kepler-1321",2.2265;5.7209;11.1283,5.7209,11.1283,11.4418,HIGH,4.17
"Kepler-186",3.8868;7.2673;13.3430;22.4077;129.9441,3.8868,7.2673,5.1824;6.9099,MEDIUM,7.76
"Kepler-186",3.8868;7.2673;13.3430;22.4077;129.9441,7.2673,13.3430,9.6897;12.9196,MEDIUM,7.13
"Kepler-186",3.8868;7.2673;13.3430;22.4077;129.9441,13.3430,22.4077,22.2383,HIGH,6.18
"Kepler-186",3.8868;7.2673;13.3430;22.4077;129.9441,22.4077,129.9441,29.8769;39.8359;53.1146;70.8194;94.4259;125.9012,MEDIUM,7.44
"Kepler-404",11.8299;14.7512,11.8299,14.7512,14.7873,MEDIUM,6.52
"Kepler-209",16.0878;41.7499,16.0878,41.7499,24.1318;36.1977,LOW,10.14
"Kepler-117",18.7959;50.7904,18.7959,50.7904,37.5918,HIGH,6.37
"Kepler-272",2.9714;6.0573;10.9373,2.9714,6.0573,5.9427,HIGH,3.76
"Kepler-272",2.9714;6.0573;10.9373,6.0573,10.9373,8.0765;10.7686,MEDIUM,6.56
"Kepler-292",2.5808;3.7153;7.0557;11.9790;20.8342,2.5808,3.7153,3.8712,MEDIUM,6.01
"Kepler-292",2.5808;3.7153;7.0557;11.9790;20.8342,3.7153,7.0557,7.4307,MEDIUM,5.32
"Kepler-292",2.5808;3.7153;7.0557;11.9790;20.8342,7.0557,11.9790,11.7595,HIGH,6.73
"Kepler-292",2.5808;3.7153;7.0557;11.9790;20.8342,11.9790,20.8342,19.9650,MEDIUM,7.98
"Kepler-1487",7.3195;35.8007,7.3195,35.8007,14.6389;29.2779,MEDIUM,7.40
"Kepler-150",3.4281;7.3820;12.5609;30.8266;637.2093,3.4281,7.3820,4.5707;6.0943,LOW,9.75
"Kepler-150",3.4281;7.3820;12.5609;30.8266;637.2093,7.3820,12.5609,12.3033,HIGH,6.85
"Kepler-150",3.4281;7.3820;12.5609;30.8266;637.2093,12.5609,30.8266,16.7479;22.3305;29.7741,MEDIUM,7.33
"Kepler-150",3.4281;7.3820;12.5609;30.8266;637.2093,30.8266,637.2093,61.6531;123.3062;246.6125;493.2249,MEDIUM,7.30
"Kepler-394",5.6136;8.0050;12.1307,5.6136,8.0050,8.4204,MEDIUM,6.47
"Kepler-394",5.6136;8.0050;12.1307,8.0050,12.1307,12.0075,HIGH,4.51
"Kepler-62",5.7149;12.4417;18.1641;122.3874;267.2910,5.7149,12.4417,7.6199;10.1599,LOW,10.12
"Kepler-62",5.7149;12.4417;18.1641;122.3874;267.2910,12.4417,18.1641,18.6626,HIGH,5.34
"Kepler-62",5.7149;12.4417;18.1641;122.3874;267.2910,18.1641,122.3874,36.3281;72.6562,HIGH,5.82
"Kepler-62",5.7149;12.4417;18.1641;122.3874;267.2910,122.3874,267.2910,203.9790,MEDIUM,9.16
"KOI-94",3.7432;10.4236;22.3430;54.3203,3.7432,10.4236,6.2387;10.3978,MEDIUM,6.88
"KOI-94",3.7432;10.4236;22.3430;54.3203,10.4236,22.3430,13.8982;18.5309,LOW,9.59
"KOI-94",3.7432;10.4236;22.3430;54.3203,22.3430,54.3203,29.7907;39.7209;52.9612,MEDIUM,7.09
"Kepler-220",4.1598;9.0342;28.1224;45.9027,4.1598,9.0342,5.5464;7.3952,LOW,10.03
"Kepler-220",4.1598;9.0342;28.1224;45.9027,9.0342,28.1224,12.0456;16.0608;21.4144,MEDIUM,8.08
"Kepler-220",4.1598;9.0342;28.1224;45.9027,28.1224,45.9027,46.8707,HIGH,6.83
"HD 73267",1257.9916;17071.7804,1257.9916,17071.7804,1886.9874;2830.4811;4245.7216;6368.5824;9552.8736;14329.3105,MEDIUM,7.06
"Kepler-1154",5.1856;8.4581,5.1856,8.4581,8.6427,HIGH,6.87
"GJ 163",8.6318;25.6306;603.9512,8.6318,25.6306,17.2636,HIGH,5.01
"GJ 163",8.6318;25.6306;603.9512,25.6306,603.9512,51.2612;102.5223;205.0446;410.0893,HIGH,4.26
"Kepler-368",26.8477;72.3793,26.8477,72.3793,53.6954,HIGH,6.25
"Kepler-335",6.5623;67.8445,6.5623,67.8445,13.1247;26.2493;52.4986,MEDIUM,7.98
"TYC 1422-614-1",198.4000;559.3000,198.4000,559.3000,330.6667;551.1111,MEDIUM,7.30
"Kepler-24",4.2444;8.1400;12.3300;18.9984,4.2444,8.1400,8.4888,MEDIUM,4.85
"Kepler-24",4.2444;8.1400;12.3300;18.9984,8.1400,12.3300,12.2100,HIGH,4.49
"Kepler-24",4.2444;8.1400;12.3300;18.9984,12.3300,18.9984,18.4950,HIGH,5.36
"Kepler-396",42.9940;88.5050,42.9940,88.5050,85.9880,HIGH,4.26
"Kepler-145",22.9510;42.8820,22.9510,42.8820,30.6013;40.8018,MEDIUM,7.73
"Kepler-84",4.2245;8.7260;12.8830;27.4344;44.5522,4.2245,8.7260,8.4491,HIGH,4.44
"Kepler-84",4.2245;8.7260;12.8830;27.4344;44.5522,8.7260,12.8830,13.0890,HIGH,4.79
"Kepler-84",4.2245;8.7260;12.8830;27.4344;44.5522,12.8830,27.4344,17.1773;22.9031,LOW,9.49
"Kepler-84",4.2245;8.7260;12.8830;27.4344;44.5522,27.4344,44.5522,45.7240,HIGH,7.08
"K2-136",7.9752;17.3071;25.5750,7.9752,17.3071,10.6336;14.1781,LOW,10.01
"K2-136",7.9752;17.3071;25.5750,17.3071,25.5750,25.9607,HIGH,4.74
"Kepler-231",10.0653;19.2716,10.0653,19.2716,20.1305,MEDIUM,4.93
"Kepler-85",8.3000;12.5100;17.9132;25.2168,8.3000,12.5100,12.4500,HIGH,4.24
"Kepler-85",8.3000;12.5100;17.9132;25.2168,12.5100,17.9132,18.7650,MEDIUM,6.27
"Kepler-85",8.3000;12.5100;17.9132;25.2168,17.9132,25.2168,26.8698,MEDIUM,7.08
"Kepler-211",4.1386;6.0404,4.1386,6.0404,6.2079,HIGH,5.35
"Kepler-162",6.9198;19.4464,6.9198,19.4464,11.5330;19.2217,MEDIUM,7.19
"TOI-431",0.4900;4.8494;12.4610,0.4900,4.8494,0.9801;1.9602;3.9204,HIGH,5.66
"TOI-431",0.4900;4.8494;12.4610,4.8494,12.4610,6.0617;7.5772;9.4715;11.8394,MEDIUM,9.55
"HD 45364",225.7900;345.4300,225.7900,345.4300,338.6850,HIGH,5.00
"HD 83443",2.9856;8241.0000,2.9856,8241.0000,5.9713;11.9425;23.8850;47.7700;95.5401;191.0802;382.1604;764.3208;1528.6415;3057.2831;6114.5661,HIGH,4.12
"HD 13908",19.3820;931.0000,19.3820,931.0000,38.7640;77.5280;155.0560;310.1120;620.2240,HIGH,3.85
"KOBE-1",8.5399;29.6710,8.5399,29.6710,12.8098;19.2148;28.8222,HIGH,5.49
"Kepler-359",25.5632;57.6880;77.0957,25.5632,57.6880,38.3448;57.5172,HIGH,4.60
"Kepler-359",25.5632;57.6880;77.0957,57.6880,77.0957,115.3760,HIGH,4.62
"Kepler-60",7.1334;8.9187;11.8981,7.1334,8.9187,9.5112,MEDIUM,8.31
"Kepler-60",7.1334;8.9187;11.8981,8.9187,11.8981,17.8374,HIGH,4.53
"Kepler-1350",1.7668;4.4969,1.7668,4.4969,2.9446,MEDIUM,8.20
"Kepler-342",1.6442;15.1703;26.2341;39.4594,1.6442,15.1703,2.4663;3.6995;5.5493;8.3239;12.4858,MEDIUM,7.31
"Kepler-342",1.6442;15.1703;26.2341;39.4594,15.1703,26.2341,25.2839,HIGH,7.68
"Kepler-342",1.6442;15.1703;26.2341;39.4594,26.2341,39.4594,39.3512,HIGH,4.14
"Kepler-880",7.7147;11.8062,7.7147,11.8062,11.5720,HIGH,5.01
"Kepler-312",1.7724;19.7474,1.7724,19.7474,2.6586;3.9879;5.9819;8.9729;13.4593,HIGH,5.86
"Kepler-967",13.2271;198.7113,13.2271,198.7113,19.8407;29.7611;44.6416;66.9624;100.4435;150.6653,MEDIUM,6.14
"Kepler-190",2.0200;3.7630,2.0200,3.7630,2.6933;3.5911,MEDIUM,7.63
"HD 134606",4.3203;12.0890;26.9150;58.8830;966.5000,4.3203,12.0890,7.2005;12.0008,MEDIUM,7.04
"HD 134606",4.3203;12.0890;26.9150;58.8830;966.5000,12.0890,26.9150,18.1335,HIGH,6.02
"HD 134606",4.3203;12.0890;26.9150;58.8830;966.5000,26.9150,58.8830,44.8583,MEDIUM,9.08
"HD 134606",4.3203;12.0890;26.9150;58.8830;966.5000,58.8830,966.5000,117.7660;235.5320;471.0640;942.1280,HIGH,3.62
"Kepler-770",1.4753;4.1524;18.9254,1.4753,4.1524,2.4589;4.0981,MEDIUM,7.24
"Kepler-770",1.4753;4.1524;18.9254,4.1524,18.9254,6.2287;9.3430;14.0145,MEDIUM,6.52
"K2-285",3.4717;7.1380;10.4558;14.7629,3.4717,7.1380,6.9435,HIGH,4.20
"K2-285",3.4717;7.1380;10.4558;14.7629,7.1380,10.4558,10.7071,HIGH,5.17
"K2-285",3.4717;7.1380;10.4558;14.7629,10.4558,14.7629,15.6837,MEDIUM,6.94
"Kepler-367",37.8157;53.5786,37.8157,53.5786,56.7236,MEDIUM,6.77
"Kepler-27",6.5463;15.3348;31.3309,6.5463,15.3348,9.8194;14.7292,HIGH,5.87
"Kepler-27",6.5463;15.3348;31.3309,15.3348,31.3309,30.6696,HIGH,3.88
"HD 20794",18.3140;89.6800;147.0200;647.6000,18.3140,89.6800,36.6280;73.2560,MEDIUM,7.44
"HD 20794",18.3140;89.6800;147.0200;647.6000,89.6800,147.0200,149.4667,HIGH,6.62
"HD 20794",18.3140;89.6800;147.0200;647.6000,147.0200,647.6000,196.0267;261.3689;348.4919;464.6558;619.5411,MEDIUM,7.62
"Kepler-288",6.0973;19.3058;56.6337,6.0973,19.3058,8.1298;10.8397;14.4529;19.2706,MEDIUM,6.74
"Kepler-288",6.0973;19.3058;56.6337,19.3058,56.6337,38.6115,HIGH,5.61
"Kepler-232",4.4312;11.3793,4.4312,11.3793,5.5390;6.9238;8.6547;10.8184,MEDIUM,9.54
"Kepler-294",3.7012;6.6264,3.7012,6.6264,4.9349;6.5799,MEDIUM,6.27
"Kepler-29",10.3397;13.2861,10.3397,13.2861,13.7863,HIGH,7.01
"Kepler-454",10.5738;524.1900;4073.0000,10.5738,524.1900,21.1475;42.2950;84.5900;169.1801;338.3601,MEDIUM,7.54
"Kepler-454",10.5738;524.1900;4073.0000,524.1900,4073.0000,1048.3800;2096.7600,HIGH,4.26
"Kepler-1266",4.8663;28.4747,4.8663,28.4747,6.4884;8.6512;11.5350;15.3799;20.5066;27.3421,MEDIUM,7.58
"Kepler-107",3.1800;4.9015;7.9584;14.7491,3.1800,4.9015,4.7700,HIGH,5.38
"Kepler-107",3.1800;4.9015;7.9584;14.7491,4.9015,7.9584,8.1691,HIGH,7.09
"Kepler-107",3.1800;4.9015;7.9584;14.7491,7.9584,14.7491,10.6112;14.1482,MEDIUM,7.45
"HIP 9618",20.7729;52.5636,20.7729,52.5636,41.5457,MEDIUM,7.51
"HD 113337",317.5864;5429.9348,317.5864,5429.9348,476.3796;714.5694;1071.8541;1607.7811;2411.6716;3617.5075;5426.2612,HIGH,5.13
"Kepler-242",8.2040;14.4965,8.2040,14.4965,13.6733,MEDIUM,8.81
"HIP 38594",60.7220;3477.7680,60.7220,3477.7680,121.4440;242.8880;485.7760;971.5520;1943.1040,HIGH,6.33
"Kepler-194",2.0923;17.3080;52.8150,2.0923,17.3080,4.1846;8.3691;16.7382,HIGH,3.90
"Kepler-194",2.0923;17.3080;52.8150,17.3080,52.8150,34.6161,HIGH,5.36
"Kepler-1336",5.7772;23.1987,5.7772,23.1987,11.5544;23.1088,HIGH,3.10
"Kepler-120",6.3125;12.7946,6.3125,12.7946,12.6250,HIGH,3.47
"Kepler-317",5.5242;8.7750,5.5242,8.7750,8.2864,MEDIUM,6.95
"Kepler-171",4.1670;11.4635;39.5955,4.1670,11.4635,6.2505;9.3757,MEDIUM,8.73
"Kepler-171",4.1670;11.4635;39.5955,11.4635,39.5955,17.1952;25.7928;38.6892,HIGH,5.34
"Kepler-204",14.4010;25.6606,14.4010,25.6606,19.2013;25.6017,MEDIUM,6.11
"Kepler-539",125.6324;1000.0000,125.6324,1000.0000,251.2649;502.5297,HIGH,3.47
"KOI-351",7.0082;8.7194;14.4491;59.7367;91.9391;124.9144;210.6070;331.6006,7.0082,8.7194,8.7602,MEDIUM,6.63
"KOI-351",7.0082;8.7194;14.4491;59.7367;91.9391;124.9144;210.6070;331.6006,8.7194,14.4491,14.5323,HIGH,6.09
"KOI-351",7.0082;8.7194;14.4491;59.7367;91.9391;124.9144;210.6070;331.6006,14.4491,59.7367,28.8982;57.7965,HIGH,4.09
"KOI-351",7.0082;8.7194;14.4491;59.7367;91.9391;124.9144;210.6070;331.6006,59.7367,91.9391,89.6050,HIGH,5.30
"KOI-351",7.0082;8.7194;14.4491;59.7367;91.9391;124.9144;210.6070;331.6006,91.9391,124.9144,183.8783,HIGH,5.45
"KOI-351",7.0082;8.7194;14.4491;59.7367;91.9391;124.9144;210.6070;331.6006,124.9144,210.6070,208.1907,HIGH,6.38
"KOI-351",7.0082;8.7194;14.4491;59.7367;91.9391;124.9144;210.6070;331.6006,210.6070,331.6006,315.9105,MEDIUM,6.48
"Kepler-93",4.7267;1460.0000,4.7267,1460.0000,9.4535;18.9070;37.8139;75.6278;151.2557;302.5113;605.0227;1210.0454,HIGH,5.05
"Kepler-321",4.9154;13.0939,4.9154,13.0939,9.8308,HIGH,5.75
"Kepler-325",4.5444;12.7622;38.7152,4.5444,12.7622,7.5741;12.6234,MEDIUM,7.17
"Kepler-325",4.5444;12.7622;38.7152,12.7622,38.7152,25.5243,HIGH,5.06
"Kepler-343",8.9686;23.2218,8.9686,23.2218,11.2107;14.0134;17.5167;21.8959,MEDIUM,9.71
"Kepler-54",8.0109;12.0717;20.9957,8.0109,12.0717,12.0164,HIGH,4.23
"Kepler-54",8.0109;12.0717;20.9957,12.0717,20.9957,20.1195,MEDIUM,7.98
"Kepler-725",39.6437;207.5410,39.6437,207.5410,59.4656;89.1984;133.7976;200.6963,HIGH,5.58
"Kepler-360",3.2897;7.1864,3.2897,7.1864,5.4828,MEDIUM,9.15
"Kepler-290",0.7640;14.5893;36.7703,0.7640,14.5893,1.5280;3.0561;6.1121;12.2243,HIGH,5.81
"Kepler-290",0.7640;14.5893;36.7703,14.5893,36.7703,29.1787,MEDIUM,7.31
"Kepler-352",6.8873;10.0554;16.3330,6.8873,10.0554,10.3309,HIGH,5.33
"Kepler-352",6.8873;10.0554;16.3330,10.0554,16.3330,16.7590,HIGH,7.07
"Kepler-1388",5.5361;12.2855;20.9568;37.6327,5.5361,12.2855,8.3041,HIGH,6.19
"Kepler-1388",5.5361;12.2855;20.9568;37.6327,12.2855,20.9568,20.4758,HIGH,6.97
"Kepler-1388",5.5361;12.2855;20.9568;37.6327,20.9568,37.6327,27.9424;37.2566,MEDIUM,6.37
"TOI-2076",3.0223;10.3552;21.0153;35.1257,3.0223,10.3552,4.5335;6.8003;10.2004,HIGH,5.13
"TOI-2076",3.0223;10.3552;21.0153;35.1257,10.3552,21.0153,20.7105,HIGH,3.54
"TOI-2076",3.0223;10.3552;21.0153;35.1257,21.0153,35.1257,35.0255,HIGH,5.94
"K2-183",0.4693;10.7880;22.6203,0.4693,10.7880,0.7039;1.0559;1.5838;2.3758;3.5636;5.3454;8.0182,MEDIUM,6.06
"K2-183",0.4693;10.7880;22.6203,10.7880,22.6203,21.5760,MEDIUM,5.22
"Kepler-920",6.5319;100.8274,6.5319,100.8274,9.7979;14.6968;22.0453;33.0679;49.6018;74.4027,MEDIUM,9.11
"Kepler-358",34.0605;83.4884,34.0605,83.4884,45.4140;60.5519;80.7359,MEDIUM,7.30
"Kepler-304",1.4991;3.2957;5.3159;9.6535,1.4991,3.2957,2.2487,HIGH,6.65
"Kepler-304",1.4991;3.2957;5.3159;9.6535,3.2957,5.3159,5.4928,HIGH,7.41
"Kepler-304",1.4991;3.2957;5.3159;9.6535,5.3159,9.6535,7.0879;9.4506,MEDIUM,6.75
"TOI-1347",0.8474;4.8420,0.8474,4.8420,1.1299;1.5065;2.0087;2.6783;3.5710;4.7614,MEDIUM,7.23
"KOI-7892",10.6906;31.8099;75.2000,10.6906,31.8099,21.3812,HIGH,4.91
"KOI-7892",10.6906;31.8099;75.2000,31.8099,75.2000,47.7148;71.5723,HIGH,6.19
"Kepler-529",1.9804;12.8345;35.8662,1.9804,12.8345,2.9705;4.4558;6.6837;10.0256,MEDIUM,8.89
"Kepler-529",1.9804;12.8345;35.8662,12.8345,35.8662,21.3908;35.6514,MEDIUM,7.00
"Kepler-193",11.3885;50.6975,11.3885,50.6975,17.0827;25.6241;38.4361,MEDIUM,6.47
"Kepler-265",6.8463;17.0289;43.1306;67.8310,6.8463,17.0289,9.1283;12.1711;16.2282,MEDIUM,7.68
"Kepler-265",6.8463;17.0289;43.1306;67.8310,17.0289,43.1306,34.0579,MEDIUM,7.56
"Kepler-265",6.8463;17.0289;43.1306;67.8310,43.1306,67.8310,64.6959,MEDIUM,6.42
"HD 65216",577.6000;5370.0000,577.6000,5370.0000,1155.2000;2310.4000;4620.8000,MEDIUM,6.90
"HD 33844",551.4000;916.0000,551.4000,916.0000,919.0000,HIGH,5.96
"HIP 54373",7.7600;15.1440,7.7600,15.1440,15.5200,HIGH,4.01
"K2-254",4.0964;12.1184,4.0964,12.1184,8.1928,HIGH,5.19
"TOI-1117",2.2282;4.5790;8.6650,2.2282,4.5790,4.4563,HIGH,4.18
"TOI-1117",2.2282;4.5790;8.6650,4.5790,8.6650,9.1580,MEDIUM,5.49
"Kepler-151",15.2290;24.6746,15.2290,24.6746,25.3816,HIGH,7.19
"Kepler-217",3.8869;5.3749;8.5860,3.8869,5.3749,5.1825,HIGH,7.06
"Kepler-217",3.8869;5.3749;8.5860,5.3749,8.5860,8.9582,MEDIUM,7.88
"HD 82943",220.0780;441.4700,220.0780,441.4700,440.1560,HIGH,2.95
"Kepler-1489",0.6807;82.2948,0.6807,82.2948,1.0211;1.5317;2.2975;3.4463;5.1694;7.7541;11.6311;17.4466;26.1700;39.2550;58.8824,MEDIUM,6.80
"Kepler-105",5.4122;7.1259,5.4122,7.1259,10.8244,HIGH,5.13
"Kepler-385",10.0437;15.1632;56.4159,10.0437,15.1632,15.0655,HIGH,4.32
"Kepler-385",10.0437;15.1632;56.4159,15.1632,56.4159,25.2719;42.1199,MEDIUM,8.62
"Kepler-170",7.9306;16.6659,7.9306,16.6659,15.8612,MEDIUM,5.34
"HD 42813",3.5380;6.4296;13.6308,3.5380,6.4296,4.7173;6.2897,MEDIUM,6.77
"HD 42813",3.5380;6.4296;13.6308,6.4296,13.6308,12.8591,MEDIUM,5.80
"Kepler-159",10.1396;43.5958,10.1396,43.5958,13.5195;18.0260;24.0347;32.0462;42.7283,MEDIUM,7.21
"GJ 229",121.9327;579.4750,121.9327,579.4750,243.8654;487.7307,MEDIUM,7.10
"Kepler-397",22.2509;135.4985,22.2509,135.4985,44.5019;89.0038,HIGH,4.66
"55 Cnc",0.7365;14.6516;44.3989;259.8800;5574.2000,0.7365,14.6516,1.4731;2.9462;5.8924;11.7848,HIGH,5.21
"55 Cnc",0.7365;14.6516;44.3989;259.8800;5574.2000,14.6516,44.3989,29.3032,HIGH,5.01
"55 Cnc",0.7365;14.6516;44.3989;259.8800;5574.2000,44.3989,259.8800,59.1985;78.9314;105.2418;140.3224;187.0966;249.4621,MEDIUM,7.58
"55 Cnc",0.7365;14.6516;44.3989;259.8800;5574.2000,259.8800,5574.2000,519.7600;1039.5200;2079.0400;4158.0800,HIGH,4.61
"HIP 65407",28.1250;67.3000,28.1250,67.3000,37.5000;50.0000;66.6667,MEDIUM,6.69
"TOI-201",52.9779;2800.0000,52.9779,2800.0000,105.9559;211.9118;423.8236;847.6471;1695.2943,HIGH,4.78
"Kepler-258",13.1972;33.6531,13.1972,33.6531,21.9954,MEDIUM,8.30
"HD 216520",35.4500;154.4300,35.4500,154.4300,47.2667;63.0222;84.0296;112.0395;149.3860,MEDIUM,7.43
"HD 206893",2090.0000;9350.0000,2090.0000,9350.0000,3135.0000;4702.5000;7053.7500,MEDIUM,6.35
"Kepler-333",12.5512;24.0882,12.5512,24.0882,25.1023,MEDIUM,4.82
"Kepler-191",5.9450;9.9396;17.7385,5.9450,9.9396,9.9084,HIGH,5.96
"Kepler-191",5.9450;9.9396;17.7385,9.9396,17.7385,13.2528;17.6705,MEDIUM,6.16
"Kepler-203",3.1627;5.3706;11.3297,3.1627,5.3706,5.2712,HIGH,6.74
"Kepler-203",3.1627;5.3706;11.3297,5.3706,11.3297,10.7413,MEDIUM,5.54
"Kepler-403",7.0315;13.6116;54.2807,7.0315,13.6116,14.0629,HIGH,4.40
"Kepler-403",7.0315;13.6116;54.2807,13.6116,54.2807,27.2232,HIGH,3.45
"Kepler-347",12.7984;27.3209;85.5173,12.7984,27.3209,17.0645;22.7526,LOW,9.45
"Kepler-347",12.7984;27.3209;85.5173,27.3209,85.5173,36.4278;48.5704;64.7606,MEDIUM,7.94
"HD 104067",13.8992;55.8510,13.8992,55.8510,27.7984;55.5968,HIGH,3.12
"Kepler-237",4.7151;8.1036,4.7151,8.1036,7.8585,HIGH,7.36
"K2-270",1.5431;4.4000,1.5431,4.4000,2.5718;4.2863,MEDIUM,7.68
"LHS 1678",0.8602;3.6943;4.9652,0.8602,3.6943,1.1470;1.5293;2.0391;2.7188;3.6250,MEDIUM,7.19
"LHS 1678",0.8602;3.6943;4.9652,3.6943,4.9652,7.3886,HIGH,4.90
"K2-18",8.9620;32.9396,8.9620,32.9396,14.9367;24.8944,MEDIUM,8.72
"Kepler-113",4.7540;8.9251,4.7540,8.9251,9.5080,MEDIUM,5.87
"HD 10180",5.7597;16.3570;49.7480;122.7440;604.6700;2205.0000,5.7597,16.3570,9.5995;15.9991,MEDIUM,7.55
"HD 10180",5.7597;16.3570;49.7480;122.7440;604.6700;2205.0000,16.3570,49.7480,32.7140,HIGH,5.19
"HD 10180",5.7597;16.3570;49.7480;122.7440;604.6700;2205.0000,49.7480,122.7440,66.3307;88.4409;117.9212,MEDIUM,7.47
"HD 10180",5.7597;16.3570;49.7480;122.7440;604.6700;2205.0000,122.7440,604.6700,245.4880;490.9760,HIGH,6.39
"HD 10180",5.7597;16.3570;49.7480;122.7440;604.6700;2205.0000,604.6700,2205.0000,1007.7833;1679.6389,MEDIUM,8.98
"HD 3167",0.9596;8.4112;29.8454;96.6300,0.9596,8.4112,1.9193;3.8386;7.6771,MEDIUM,8.85
"HD 3167",0.9596;8.4112;29.8454;96.6300,8.4112,29.8454,12.6168;18.9252;28.3878,HIGH,6.03
"HD 3167",0.9596;8.4112;29.8454;96.6300,29.8454,96.6300,39.7939;53.0585;70.7447;94.3262,MEDIUM,7.19
"Kepler-349",5.9298;12.2476,5.9298,12.2476,11.8596,HIGH,4.44
"Kepler-722",4.0936;105.1447,4.0936,105.1447,6.1404;9.2105;13.8158;20.7237;31.0856;46.6284;69.9425;104.9138,HIGH,5.19
"HD 25463",3.0440;7.0491,3.0440,7.0491,4.5661;6.8491,HIGH,5.47
"Kepler-446",1.5654;3.0362;5.1489,1.5654,3.0362,3.1308,HIGH,4.31
"Kepler-446",1.5654;3.0362;5.1489,3.0362,5.1489,5.0603,HIGH,6.68
"K2-352",3.6659;8.2349;14.8714,3.6659,8.2349,5.4989,HIGH,5.58
"K2-352",3.6659;8.2349;14.8714,8.2349,14.8714,10.9798;14.6398,MEDIUM,6.56
"Kepler-1129",24.3398;76.5370,24.3398,76.5370,32.4530;43.2707;57.6943,MEDIUM,7.83
"Kepler-1067",0.7621;5.4258,0.7621,5.4258,1.1432;1.7148;2.5722;3.8583,MEDIUM,7.69
"Kepler-198",1.3118;17.7900;49.5674,1.3118,17.7900,1.9678;2.9516;4.4275;6.6412;9.9618;14.9427,MEDIUM,7.07
"Kepler-198",1.3118;17.7900;49.5674,17.7900,49.5674,29.6501;49.4168,MEDIUM,6.90
"Barnard's star",2.3402;3.1542;4.1244;6.7392,2.3402,3.1542,4.6804,HIGH,5.04
"Barnard's star",2.3402;3.1542;4.1244;6.7392,3.1542,4.1244,6.3084,HIGH,5.47
"Barnard's star",2.3402;3.1542;4.1244;6.7392,4.1244,6.7392,6.8740,HIGH,6.78
"Kepler-83",5.1698;9.7700;20.0900,5.1698,9.7700,10.3396,MEDIUM,5.55
"Kepler-83",5.1698;9.7700;20.0900,9.7700,20.0900,19.5400,HIGH,4.21
"Kepler-2000",6.3832;20.6180,6.3832,20.6180,8.5109;11.3478;15.1305;20.1739,MEDIUM,7.14
"K2-133",3.0713;4.8678;11.0245;26.5841,3.0713,4.8678,4.6070,MEDIUM,6.83
"K2-133",3.0713;4.8678;11.0245;26.5841,4.8678,11.0245,7.3018;10.9526,HIGH,4.72
"K2-133",3.0713;4.8678;11.0245;26.5841,11.0245,26.5841,14.6994;19.5992;26.1322,MEDIUM,6.88
"Kepler-275",10.3007;16.0881;35.6761,10.3007,16.0881,15.4510,MEDIUM,6.06
"Kepler-275",10.3007;16.0881;35.6761,16.0881,35.6761,24.1322,HIGH,6.22
"K2-158",5.9028;10.0605,5.9028,10.0605,9.8380,HIGH,6.93
"Kepler-153",18.8702;46.9023,18.8702,46.9023,25.1603;33.5471;44.7294,MEDIUM,7.66
"TOI-6695",80.3890;242.4000,80.3890,242.4000,160.7780,HIGH,4.76
"HD 192310",74.7200;525.8000,74.7200,525.8000,149.4400;298.8800,MEDIUM,6.94
"K2-166",3.8046;8.5269,3.8046,8.5269,5.7070,HIGH,5.70
"Kepler-157",1.7323;7.0257;13.5405,1.7323,7.0257,3.4647;6.9294,HIGH,3.43
"Kepler-157",1.7323;7.0257;13.5405,7.0257,13.5405,14.0515,HIGH,4.62
"Kepler-256",1.6205;3.3880;5.8392;10.6816,1.6205,3.3880,3.2410,MEDIUM,5.07
"Kepler-256",1.6205;3.3880;5.8392;10.6816,3.3880,5.8392,5.6467,HIGH,7.50
"Kepler-256",1.6205;3.3880;5.8392;10.6816,5.8392,10.6816,7.7856;10.3808,MEDIUM,7.00
"TIC 279401253",76.8000;155.3000,76.8000,155.3000,153.6000,HIGH,3.35
"HIP 67522",6.9595;14.3349,6.9595,14.3349,13.9189,HIGH,4.29
"Kepler-302",30.1841;127.2822,30.1841,127.2822,60.3682;120.7364,HIGH,4.77
"Kepler-354",5.4767;16.9344;24.2098,5.4767,16.9344,6.8458;8.5573;10.6966;13.3708;16.7134,MEDIUM,8.95
"Kepler-354",5.4767;16.9344;24.2098,16.9344,24.2098,25.4016,MEDIUM,6.35
"Kepler-164",5.0350;10.9457;28.9868;94.8869,5.0350,10.9457,6.7134;8.9512,LOW,10.07
"Kepler-164",5.0350;10.9457;28.9868;94.8869,10.9457,28.9868,21.8914,HIGH,6.05
"Kepler-164",5.0350;10.9457;28.9868;94.8869,28.9868,94.8869,38.6490;51.5320;68.7094;91.6125,MEDIUM,7.41
"tau Cet",20.0000;49.4100;162.8700;636.1300,20.0000,49.4100,26.6667;35.5556;47.4074,MEDIUM,7.51
"tau Cet",20.0000;49.4100;162.8700;636.1300,49.4100,162.8700,74.1150;111.1725,HIGH,6.28
