system_name,planet_name,period_days
Kepler-1612,Kepler-1612 b,3.91795101
Kepler-1054,Kepler-1054 b,4.30655689
Kepler-157,Kepler-157 c,13.5405
Kepler-256,Kepler-256 d,5.839172
K2-251,K2-251 b,9.30075
TIC 279401253,TIC 279401253 c,155.3
Kepler-1263,Kepler-1263 b,4.55139967
HD 155193,HD 155193 b,352.65
HIP 67522,HIP 67522 c,14.334892
Kepler-555,Kepler-555 b,16.21775407
Kepler-302,Kepler-302 c,127.282184
Kepler-354,Kepler-354 d,24.209842
Kepler-1342,Kepler-1342 b,2.215710358
HD 18015,HD 18015 b,2278.0
Kepler-297,Kepler-297 c,74.920137
Kepler-164,Kepler-164 d,28.986769
tau Cet,tau Cet h,49.41
Kepler-201,Kepler-201 b,25.672083
EPIC 212737443,EPIC 212737443 c,65.55
Kepler-178,Kepler-178 d,96.678988
Kepler-199,Kepler-199 c,67.093408
Kepler-990,Kepler-990 c,0.538354308
Kepler-272,Kepler-272 d,10.937304
Kepler-814,Kepler-814 b,6.1469851
Kepler-1802,Kepler-1802 c,33.13610077
Kepler-1175,Kepler-1175 b,37.94563
Kepler-898,Kepler-898 b,5.8706191
K2-95,K2-95 b,10.1346454
Kepler-53,Kepler-53 d,9.751962
Kepler-409,Kepler-409 b,68.9583216
Kepler-913,Kepler-913 c,5.939119816
Kepler-884,Kepler-884 b,5.69919514
HATS-48 A,HATS-48 A b,3.1316666
HAT-P-44,HAT-P-44 b,4.301219
TOI-1634,TOI-1634 c,103.0
HATS-42,HATS-42 b,2.292102
Kepler-238,Kepler-238 c,6.155557
Kepler-238,Kepler-238 b,2.090876
Kepler-278,Kepler-278 b,30.160546
Kepler-1089,Kepler-1089 b,5.132485618
Kepler-1907,Kepler-1907 b,5.652450085
TOI-260,TOI-260 b,13.475853
Kepler-1920,Kepler-1920 b,30.2541008
TOI-559,TOI-559 b,6.9839095
HD 30669,HD 30669 b,1684.0
TOI-1174,TOI-1174 b,8.953487683
WASP-66,WASP-66 b,4.08605
Kepler-275,Kepler-275 b,10.300682
Kepler-9,Kepler-9 b,19.23891
K2-45,K2-45 b,1.7292684
HD 96700,HD 96700 b,8.1245
POTS-1,POTS-1 b,3.1606296
WASP-186,WASP-186 b,5.026799
WASP-173 A,WASP-173 A b,1.38665318
Kepler-2000,Kepler-2000 c,20.6180348
Kepler-279,Kepler-279 b,12.309681
75 Cet,75 Cet c,2051.62
Kepler-1966,Kepler-1966 b,8.617429733
Kepler-113,Kepler-113 c,8.92507
HATS-64,HATS-64 b,4.908897
Kepler-1314,Kepler-1314 b,5.424749281
Kepler-1932,Kepler-1932 b,0.524177015
HD 90156,HD 90156 b,49.77
TOI-6008,TOI-6008 b,0.8574347
Kepler-856,Kepler-856 b,8.027680595
NGTS-3 A,NGTS-3 A b,1.6753728
TOI-1601,TOI-1601 b,5.33175
Kepler-666,Kepler-666 b,4.49876092
Kepler-30,Kepler-30 b,29.33434
Kepler-388,Kepler-388 b,3.173315
HD 212771,HD 212771 b,380.7
Kepler-1216,Kepler-1216 b,4.37034536
HD 147018,HD 147018 c,1008.0
Kepler-55,Kepler-55 c,42.1516418
Kepler-1754,Kepler-1754 b,8.195949554
TIC 4672985,TIC 4672985 b,69.048
Kepler-1387,Kepler-1387 b,2.279526656
Kepler-416,Kepler-416 c,12.209
Kepler-394,Kepler-394 b,8.005013
Kepler-608,Kepler-608 b,6.412515037
Kepler-842,Kepler-842 b,1.21956827
Kepler-185,Kepler-185 c,20.729042
HD 86081,HD 86081 b,2.1378431
Kepler-714,Kepler-714 b,8.098887986
HD 81817,HD 81817 c,622.97802
Kepler-1199,Kepler-1199 b,15.0447198
Kepler-1322,Kepler-1322 c,6.459980011
Kepler-268,Kepler-268 c,83.446393
K2-217,K2-217 b,14.074524
Kepler-1254,Kepler-1254 b,9.99113313
HAT-P-44,HAT-P-44 c,872.2
Kepler-1389,Kepler-1389 b,99.2530951
Kepler-167,Kepler-167 c,7.406106
Kepler-764,Kepler-764 b,7.33683936
HATS-53,HATS-53 b,3.8537768
Kepler-11,Kepler-11 b,10.3039
Kepler-30,Kepler-30 d,143.34394
WASP-43,WASP-43 b,0.813475
Kepler-511,Kepler-511 b,296.637865
Kepler-1286,Kepler-1286 b,11.25402929
Kepler-611,Kepler-611 b,2.437033302
Kepler-1088,Kepler-1088 b,23.12748644
HD 204313,HD 204313 c,34.95875
Kepler-11,Kepler-11 g,118.3807
HATS-8,HATS-8 b,3.583893
GJ 9827,GJ 9827 c,3.648103
Kepler-1681,Kepler-1681 b,69.8956
Kepler-11,Kepler-11 c,13.0241
Kepler-66,Kepler-66 b,17.815815
HD 150706,HD 150706 b,5894.0
Kepler-1646,Kepler-1646 b,4.48558383
Kepler-59,Kepler-59 c,17.9801235
Kepler-354,Kepler-354 c,16.934402
Kepler-305,Kepler-305 c,8.291
Kepler-1981,Kepler-1981 b,453.54212
HD 222076,HD 222076 b,871.0
Kepler-703,Kepler-703 b,4.583521756
Kepler-11,Kepler-11 d,22.6845
Kepler-11,Kepler-11 e,31.9996
Barnard's star,Barnard e,6.7392
HD 235088,HD 235088 b,7.4341325
Kepler-54,Kepler-54 c,12.0717249
Kepler-59,Kepler-59 b,11.8681707
Kepler-635,Kepler-635 b,23.44971004
WASP-22,WASP-22 b,3.53269
Kepler-1474,Kepler-1474 b,36.4333452
Kepler-485,Kepler-485 b,3.243259796
Kepler-30,Kepler-30 c,60.323105
WASP-52,WASP-52 b,1.7497798
Kepler-1614,Kepler-1614 b,3.9466141
Kepler-879,Kepler-879 b,33.3855938
Kepler-1641,Kepler-1641 b,19.672266
Kepler-419,Kepler-419 b,69.7546
Kepler-419,Kepler-419 c,675.47
Kepler-1388,Kepler-1388 c,5.53608151
HD 307842,TOI-784 b,2.7970365
bet Pic,bet Pic c,1192.77951
Kepler-32,Kepler-32 b,5.90124
KOI-94,KOI-94 e,54.32031
Kepler-1350,Kepler-1350 b,4.4968604
Kepler-44,Kepler-44 b,3.2467293
HD 93385,HD 93385 c,13.18
Kepler-610,Kepler-610 c,151.86392
Kepler-290,Kepler-290 d,0.764017553
TIC 365102760,TIC 365102760 b,4.21285367
Kepler-1388,Kepler-1388 b,12.2854603
HD 5891,HD 5891 b,177.11
TOI-1448,TOI-1448 b,8.112245
Kepler-654,Kepler-654 b,13.72465129
KOI-351,KOI-351 g,210.60697
Kepler-277,Kepler-277 c,33.006
Kepler-1203,Kepler-1203 b,0.588000765
Kepler-1501,Kepler-1501 b,14.5564533
Kepler-1850,Kepler-1850 b,1.385800004
Kepler-1789,Kepler-1789 b,80.23190308
Kepler-140,Kepler-140 c,91.353282
Kepler-106,Kepler-106 b,6.16486
TOI-4406,TOI-4406 b,30.08364
HD 154672,HD 154672 b,163.94
Kepler-584,Kepler-584 b,35.1810304
K2-397,K2-397 b,3.572326
Kepler-1082,Kepler-1082 b,1.543206604
Kepler-1672,Kepler-1672 b,150.878
Kepler-618,Kepler-618 b,3.595769645
Kepler-322,Kepler-322 b,1.653888
TOI-262,TOI-262 b,11.14529
Kepler-1072,Kepler-1072 b,1.569066502
HD 68402,HD 68402 b,1103.0
Kepler-1161,Kepler-1161 b,10.71252541
Kepler-1777,Kepler-1777 b,12.18420029
Kepler-1991,Kepler-1991 c,22.79020351
rho CrB,rho CrB c,102.19
Kepler-310,Kepler-310 d,92.876125
KOI-351,KOI-351 h,331.60059
KOI-351,KOI-351 e,91.93913
HD 39194,HD 39194 d,33.91
Kepler-1563,Kepler-1563 b,3.43276598
Kepler-500,Kepler-500 b,8.508324398
Kepler-530,Kepler-530 b,39.30941904
Kepler-173,Kepler-173 b,4.263742
HD 12484,HD 12484 b,58.83
Kepler-361,Kepler-361 c,55.188023
Kepler-265,Kepler-265 e,67.831024
Kepler-1724,Kepler-1724 b,6.45442009
Kepler-1144,Kepler-1144 b,17.14647302
Kepler-1440,Kepler-1440 b,39.859484
Kepler-188,Kepler-188 b,2.061897
Kepler-296,Kepler-296 b,10.864384
Kepler-388,Kepler-388 c,13.297004
TrES-2,TrES-2 b,2.47063
Kepler-1661,Kepler-1661 b,175.06
Kepler-332,Kepler-332 c,15.995622
Kepler-1393,Kepler-1393 b,2.44357812
Kepler-304,Kepler-304 b,3.295709
Kepler-1464,Kepler-1464 c,5.32786292
NGTS-26,NGTS-26 b,4.5199279
Kepler-1502,Kepler-1502 b,41.7083629
Kepler-1022,Kepler-1022 b,10.99469878
Kepler-1861,Kepler-1861 b,40.0306015
Kepler-1380,Kepler-1380 b,10.3108245
eps CrB,eps CrB b,417.9
HIP 21152,HIP 21152 b,22000.0
Kepler-112,Kepler-112 c,28.574263
HD 103891,HD 103891 b,1919.0
Kepler-887,Kepler-887 b,20.42228798
Kepler-154,Kepler-154 b,33.040532
HAT-P-62,HAT-P-62 b,2.6453235
Kepler-1370,Kepler-1370 c,7.44142113
HD 219666,HD 219666 b,6.034468
Kepler-1967,Kepler-1967 b,7.281690121
HD 194490,HD 194490 b,13092.18348
Kepler-393,Kepler-393 b,9.182417
HD 118203,HD 118203 b,6.1349779
Kepler-1735,Kepler-1735 b,7.71792984
Kepler-301,Kepler-301 b,2.508553
HD 116029,HD 116029 c,907.0
HD 211403,HD 211403 b,223.8
Kepler-1613,Kepler-1613 b,1.5184299
Kepler-1532,Kepler-1532 b,1.093663559
HD 158259,HD 158259 d,5.1980814
Kepler-965,Kepler-965 b,134.2527298
Kepler-513,Kepler-513 b,28.86235584
Kepler-418,Kepler-418 b,86.67856
Kepler-1435,Kepler-1435 b,4.45343281
HD 188641,HD 188641 b,14583.81038
Kepler-431,Kepler-431 b,6.803
TOI-1279,TOI-1279 b,9.61419
Kepler-1575,Kepler-1575 b,2.55314213
K2-187,K2-187 b,0.77401
KOI-94,KOI-94 b,3.743208
KOI-94,KOI-94 d,22.342989
Kepler-63,Kepler-63 b,9.4341505
Kepler-81,Kepler-81 b,5.955
Kepler-87,Kepler-87 b,114.73635
Kepler-1065,Kepler-1065 c,2.37030743
Kepler-1965,Kepler-1965 b,41.86869812
WASP-133,WASP-133 b,2.176423
Kepler-389,Kepler-389 c,14.51143
HD 6718,HD 6718 b,2496.0
K2-184,K2-184 b,16.9780102
WASP-148,WASP-148 c,34.524
Kepler-777,Kepler-777 b,5.72812599
Kepler-56,Kepler-56 c,21.40239
KIC 10001893,KIC 10001893 b,0.2197
Kepler-62,Kepler-62 b,5.714932
HD 21520,HD 21520 b,25.1292
Kepler-1987,Kepler-1987 e,8.74292005
TOI-1758,TOI-1758 b,20.705074685
TOI-6478,TOI-6478 b,34.005019
Kepler-1338,Kepler-1338 b,0.935118057
Kepler-961,Kepler-961 b,16.87727414
HD 35843,HD 35843 b,9.8991
Kepler-1265,Kepler-1265 b,6.49441289
Kepler-184,Kepler-184 b,10.687576
Kepler-238,Kepler-238 e,23.654
Kepler-410 A,Kepler-410 A b,17.833648
Kepler-85,Kepler-85 e,25.216751
Kepler-130,Kepler-130 d,87.517905
HIP 8541,HIP 8541 b,1852.14387
Kepler-1886,Kepler-1886 b,24.2758007
Kepler-542,Kepler-542 b,13.14497566
HD 62364,HD 62364 b,5138.0
TOI-1749,TOI-1749 b,2.38839
Kepler-1634,Kepler-1634 b,374.876239
Kepler-99,Kepler-99 b,4.60358
K2-393,K2-393 b,10.413181
K2-5,K2-5 c,10.93241
HAT-P-11,HAT-P-11 c,3361.0
Kepler-1416,Kepler-1416 b,1.49514952
Kepler-1701,Kepler-1701 b,169.134
Kepler-1578,Kepler-1578 b,1.450886907
KOI-55,KOI-55 c,0.342887
HD 45364,HD 45364 b,225.79
Kepler-1772,Kepler-1772 b,3.215090036
Kepler-1862,Kepler-1862 b,16.05730057
Kepler-990,Kepler-990 b,9.91723428
Kepler-1537,Kepler-1537 b,1.444453798
Kepler-1593,Kepler-1593 b,174.509835
Kepler-328,Kepler-328 b,34.921
Kepler-511,Kepler-511 c,26.62949944
K2-198,K2-198 b,17.0428683
2MASS J19383260+4603591,Kepler-451 c,1460.0
Kepler-369,Kepler-369 c,14.871572
TOI-1777,TOI-1777.01,14.650111974
Kepler-1024,Kepler-1024 b,66.4162133
Kepler-253,Kepler-253 c,10.281951
Kepler-171,Kepler-171 c,11.463462
WASP-33,WASP-33 b,1.21987
TOI-4145 A,TOI-4145 A b,4.0664428
Kepler-709,Kepler-709 b,16.08524954
TrES-4,TrES-4 b,3.55395
Kepler-1987,Kepler-1987 b,2.345863002
Kepler-366,Kepler-366 b,3.281959
K2-155,K2-155 d,40.718
Kepler-312,Kepler-312 c,19.747412
Kepler-245,Kepler-245 e,3.219821056
HD 102843,HD 102843 b,3090.942
Kepler-1066,Kepler-1066 b,1.931559839
HD 108874,HD 108874 c,1624.0
Kepler-49,Kepler-49 e,18.596108
Kepler-52,Kepler-52 d,36.445171
Kepler-562,Kepler-562 b,18.009314436
Kepler-711,Kepler-711 b,23.58914398
NY Vir,NY Vir c,8799.0
Kepler-1371,Kepler-1371 c,2.00541269
Kepler-538,Kepler-538 b,81.73778
WASP-4,WASP-4 b,1.338230994
GJ 508.2,GJ 508.2 b,5300.0
Kepler-108,Kepler-108 c,190.323494
Kepler-392,Kepler-392 b,5.341853
Kepler-946,Kepler-946 b,11.79162572
Kepler-296,Kepler-296 d,19.850291
Kepler-336,Kepler-336 c,9.600001
Kepler-245,Kepler-245 c,17.460812
Kepler-397,Kepler-397 b,22.250949
Kepler-1046,Kepler-1046 b,14.37508035
Kepler-536,Kepler-536 b,1.827082299
Kepler-379,Kepler-379 c,62.784697
TOI-4329,TOI-4329 b,2.9223
Kepler-306,Kepler-306 b,4.646186
Kepler-121,Kepler-121 b,3.177422
TOI-238,TOI-238 c,8.465651
TOI-5005,TOI-5005 b,6.3085044
TOI-1452,TOI-1452 b,11.06201
WASP-63,WASP-63 b,4.37808
Kepler-169,Kepler-169 c,6.195469
Kepler-1395,Kepler-1395 b,3.78470649
Kepler-1197,Kepler-1197 b,2.03231845
Kepler-324,Kepler-324 b,4.385315
Kepler-23,Kepler-23 c,10.74
Kepler-37,Kepler-37 c,21.301848
K2-165,K2-165 d,14.101361
PSR J1719-1438,PSR J1719-1438 b,0.090706293
WASP-83,WASP-83 b,4.971252
GJ 687,GJ 687 c,727.562
Kepler-55,Kepler-55 d,2.211099
HATS-11,HATS-11 b,3.619188
HD 199509,HD 199509 b,99.62167
WASP-154,WASP-154 b,3.811678
HD 16141,HD 16141 b,75.523
Kepler-1343,Kepler-1343 b,3.35183158
Kepler-81,Kepler-81 d,20.837846
Kepler-531,Kepler-531 b,29.88485741
Kepler-376,Kepler-376 c,14.172327
TOI-199,TOI-199 b,104.854
HAT-P-6,HAT-P-6 b,3.85298
Kepler-1237,Kepler-1237 b,84.5733226
HD 110067,HD 110067 f,41.05854
Kepler-58,Kepler-58 d,40.101371
Kepler-128,Kepler-128 c,22.8
Kepler-1849,Kepler-1849 b,57.29290009
Kepler-316,Kepler-316 c,6.827766
Kepler-54,Kepler-54 d,20.995694
Kepler-1001,Kepler-1001 b,14.30511983
Kepler-192,Kepler-192 b,9.926746
Kepler-1075,Kepler-1075 b,1.52372816
HD 190647,HD 190647 b,1176.45
Kepler-1376,Kepler-1376 b,5.30880656
Kepler-127,Kepler-127 b,14.435889
K2-247,K2-247 c,6.49424
Kepler-1917,Kepler-1917 b,12.90240002
Kepler-1146,Kepler-1146 b,2.352265797
Kepler-373,Kepler-373 b,5.535309
Kepler-282,Kepler-282 e,44.347
Kepler-1807,Kepler-1807 b,10.86060047
Kepler-1113,Kepler-1113 b,42.3004954
TOI-269,TOI-269 b,3.6977104
TOI-1823,TOI-1823 b,38.8
Kepler-1540,Kepler-1540 b,125.4131177
K2-345,K2-345 b,10.367437
TOI-2076,TOI-2076 c,21.015327
Kepler-1907,Kepler-1907 c,14.86390018
Kepler-1969,Kepler-1969 b,6.647520065
TOI-5799,TOI-5799 b,4.164663198
Kepler-1491,Kepler-1491 b,16.5861762
TOI-132,TOI-132 b,2.1097019
Kepler-115,Kepler-115 b,2.403679
Kepler-158,Kepler-158 c,28.551383
K2-80,K2-80 d,28.867253
Kepler-116,Kepler-116 b,5.968734
Kepler-1311,Kepler-1311 c,2.53573424
HATS-45,HATS-45 b,4.1876244
EPIC 228836835,EPIC 228836835 b,0.728113
Kepler-251,Kepler-251 c,16.514043
Kepler-195,Kepler-195 c,34.096863
HD 135625,HD 135625 b,4055.0
TOI-451,TOI-451 d,16.364988
Kepler-1410,Kepler-1410 b,60.866168
TOI-5205,TOI-5205 b,1.630757
HD 216520,HD 216520 b,35.45
Kepler-573,Kepler-573 b,22.18329658
Kepler-1295,Kepler-1295 b,3.81371974
TOI-1860,TOI-1860 b,1.0662107
K2-46,K2-46 b,19.1541
Kepler-1980,Kepler-1980 b,33.0257179
Kepler-200,Kepler-200 c,10.222157
TOI-500,TOI-500 d,26.233
Kepler-817,Kepler-817 b,3.990106229
WASP-177,WASP-177 b,3.071722
Kepler-305,Kepler-305 e,3.20538
HD 331093,HD 331093 b,621.62
TOI-5301,TOI-5301 b,5.858858
Kepler-1121,Kepler-1121 b,13.15141081
WASP-38,WASP-38 b,6.87188
Kepler-124,Kepler-124 c,13.821375
Kepler-446,Kepler-446 b,1.565409
Kepler-1952,Kepler-1952 b,27.21080017
Kepler-916,Kepler-916 b,32.2968798
Kepler-242,Kepler-242 c,14.496481
HD 39194,HD 39194 b,5.6368
Kepler-1198,Kepler-1198 b,7.6847716
K2-289,K2-289 b,13.156969
GJ 1002,GJ 1002 b,10.3465
Kepler-657,Kepler-657 b,24.54350418
TOI-2046,TOI-2046 b,1.4971842
Kepler-315,Kepler-315 c,265.469335
Kepler-359,Kepler-359 d,77.095691
Kepler-341,Kepler-341 d,27.666313
K2-320,K2-320 b,1.995
Kepler-229,Kepler-229 d,41.194912
TRAPPIST-1,TRAPPIST-1 g,12.352446
Kepler-65,Kepler-65 b,2.15491
Kepler-1253,Kepler-1253 b,68.8861915
TOI-1693,TOI-1693 b,1.7666957
Kepler-1993,Kepler-1993 b,26.6565737
Kepler-207,Kepler-207 b,1.611865
Kepler-163,Kepler-163 b,7.810937
BD+15 2375,BD+15 2375 b,153.22
Kepler-1246,Kepler-1246 b,11.32271513
K2-49,K2-49 b,2.77065
GJ 676 A,GJ 676 A e,35.47358
Kepler-37,Kepler-37 e,51.196
Kepler-1749,Kepler-1749 b,14.53409958
Kepler-245,Kepler-245 b,7.49019
HIP 57274,HIP 57274 c,32.03
TOI-431,TOI-431 d,12.46103
Kepler-999,Kepler-999 b,5.991857017
Kepler-291,Kepler-291 c,5.700786
Kepler-83,Kepler-83 d,5.169796
TOI-2128,TOI-2128 b,16.34136
Kepler-381,Kepler-381 d,8.256299973
Kepler-1048,Kepler-1048 b,6.92101021
Kepler-1422,Kepler-1422 b,18.6051942
Kepler-148,Kepler-148 b,1.729366
HD 73256,HD 73256 c,2690.0
Kepler-971,Kepler-971 b,9.59070716
Kepler-1927,Kepler-1927 b,73.75039673
Kepler-57,Kepler-57 c,11.6
Kepler-1093,Kepler-1093 c,89.722292
K2-323,K2-323 b,24.93
Kepler-165,Kepler-165 b,8.180848
HD 213519,HD 213519 b,11.12214
Kepler-164,Kepler-164 c,10.945723
Kepler-229,Kepler-229 c,16.068638
WTS-2,WTS-2 b,1.0187068
K2-242,K2-242 b,6.51389
Kepler-1756,Kepler-1756 b,2.355750084
EPIC 206042996,EPIC 206042996 c,0.354884
Kepler-857,Kepler-857 b,85.35129427
HD 176986,HD 176986 b,6.4898
Kepler-1740,Kepler-1740 b,8.172400475
Kepler-713,Kepler-713 b,7.411141
HD 67087,HD 67087 c,2374.0
CoRoT-35,CoRoT-35 b,3.22748
Kepler-1127,Kepler-1127 b,5.12330347
Kepler-616,Kepler-616 c,90.4113556
Kepler-1284,Kepler-1284 b,0.664073806
HD 4760,HD 4760 b,434.0
Kepler-649,Kepler-649 b,29.90722674
Kepler-1770,Kepler-1770 b,16.84189987
HD 99492,HD 99492 b,17.0503
Kepler-210,Kepler-210 c,7.972513
Kepler-122,Kepler-122 c,12.465988
Kepler-231,Kepler-231 c,19.271566
Kepler-245,Kepler-245 d,36.277108
Kepler-49,Kepler-49 c,10.91
Kepler-1174,Kepler-1174 b,6.89225223
Kepler-178,Kepler-178 b,9.576694
Kepler-373,Kepler-373 c,16.725948
KOI-3503,KOI-3503 c,31.828
TOI-1260,TOI-1260 c,7.493134
TOI-3235,TOI-3235 b,2.59261842
Kepler-786,Kepler-786 b,53.5293487
HATS-16,HATS-16 b,2.686502
Kepler-1291,Kepler-1291 b,8.63043276
Kepler-829,Kepler-829 b,6.88337562
TOI-5143,TOI-5143 c,5.2097118
TOI-1136,TOI-1136 c,6.2574
TOI-908,TOI-908 b,3.183792
WASP-90,WASP-90 b,3.916243
Kepler-1374,Kepler-1374 b,10.65276707
Kepler-337,Kepler-337 c,9.693201
K2-59,K2-59 b,20.6921
HD 179079,HD 179079 b,14.479
K2-396,K2-396 c,25.76051
Kepler-349,Kepler-349 c,12.247629
GJ 480,GJ 480 b,9.567
HAT-P-53,HAT-P-53 b,1.9616241
HAT-P-60,HAT-P-60 b,4.7947813
TOI-672,TOI-672 b,3.633575
TOI-3980,TOI-3980 b,3.6089254
TOI-4559,TOI-4559 b,3.965991
HIP 99770,HIP 99770 b,18600.0
Kepler-62,Kepler-62 d,18.16406
HD 11506,HD 11506 d,26500.0
Kepler-1690,Kepler-1690 b,234.636
TOI-2669,TOI-2669 b,6.2034
WASP-98,WASP-98 b,2.96264036
Kepler-284,Kepler-284 b,12.699149
TOI-561,TOI-561 b,0.4465697
Kepler-1564,Kepler-1564 b,18.0540381
HATS-18,HATS-18 b,0.83784
HD 63433,HD 63433 b,7.1079384
Kepler-1139,Kepler-1139 b,0.813166719
Kepler-84,Kepler-84 e,27.434389
NGTS-27,NGTS-27 b,3.3704181
EPIC 206215704,EPIC 206215704 b,2.255436
Kepler-114,Kepler-114 d,11.776
Kepler-982,Kepler-982 b,15.7738221
K2-293,K2-293 b,13.1225
Kepler-168,Kepler-168 c,13.193242
TOI-1450 A,TOI-1450 A c,5.0688
TOI-1670,TOI-1670 c,40.74976
Kepler-1157,Kepler-1157 b,4.45743164
HD 2638,HD 2638 b,3.4442
HD 94834,HD 94834 b,1576.0
Kepler-239,Kepler-239 c,56.228098
K2-16,K2-16 c,19.07863
NGTS-4,NGTS-4 b,1.3373508
BD+05 4868 A,BD+05 4868 A b,1.271869
HD 185283,HD 185283 b,4060.0
Kepler-126,Kepler-126 c,21.869741
Kepler-1627,Kepler-1627 b,7.20283653
Kepler-619,Kepler-619 c,1.208465026
Kepler-1515,Kepler-1515 b,214.3114164
GJ 357,GJ 357 b,3.9306
GJ 436,GJ 436 b,2.64388312
Kepler-131,Kepler-131 b,16.092
Kepler-271,Kepler-271 d,5.24972541
HD 66428,HD 66428 c,10478.84437
Kepler-1696,Kepler-1696 b,65.9409
K2-32,K2-32 d,31.71701
Qatar-3,Qatar-3 b,2.5079204
Kepler-808,Kepler-808 b,0.631332353
TOI-286,TOI-286 c,39.361826
HD 175167,HD 175167 b,1175.0
HD 11964,HD 11964 b,1945.0
HD 215497,HD 215497 b,3.93404
Kepler-100,Kepler-100 c,12.8159
Kepler-101,Kepler-101 c,6.02976
Kepler-101,Kepler-101 b,3.4876812
Kepler-383,Kepler-383 c,31.200751
Kepler-947,Kepler-947 b,26.9644317
Kepler-697,Kepler-697 b,3.709870645
K2-339,K2-339 b,19.507428
Kepler-454,Kepler-454 d,4073.0
Kepler-950,Kepler-950 b,98.7180406
HD 73526,HD 73526 b,188.3
Kepler-235,Kepler-235 d,20.060548
HD 233604,HD 233604 b,192.0
Kepler-215,Kepler-215 c,14.667108
Kepler-126,Kepler-126 b,10.495711
HD 210277,HD 210277 b,442.19
Kepler-783,Kepler-783 c,7.05395
GJ 3470,GJ 3470 b,3.3366496
TOI-2236,TOI-2236 b,3.5315902
HR 8799,HR 8799 c,69000.0
Kepler-91,Kepler-91 b,6.24658
K2-28,K2-28 b,2.260455
Kepler-271,Kepler-271 b,10.43547805
Kepler-338,Kepler-338 e,9.341
Kepler-1647,Kepler-1647 b,1107.5923
K2-198,K2-198 d,7.4500177
Kepler-1769,Kepler-1769 b,89.1934967
Kepler-1128,Kepler-1128 b,61.6178167
TOI-1272,TOI-1272 b,3.31599
Kepler-750,Kepler-750 b,9.42887179
Kepler-1303,Kepler-1303 b,7.56127224
Kepler-656,Kepler-656 c,5.25449393
HD 197037,HD 197037 b,1035.7
Kepler-1156,Kepler-1156 b,11.89520511
EPIC 211822797,EPIC 211822797 b,21.1701963
Kepler-1390,Kepler-1390 b,6.48021673
Kepler-223,Kepler-223 c,9.84564
K2-19,K2-19 c,11.8993
TOI-622,TOI-622 b,6.402513
K2-58,K2-58 c,2.53726
GPX-1,GPX-1 b,1.744579
Kepler-1585,Kepler-1585 b,3.5827463
HD 187123,HD 187123 c,3810.0
HD 140901,HD 140901 b,9.02378
Kepler-79,Kepler-79 c,27.4029
Kepler-79,Kepler-79 b,13.4845
HD 99283,HD 99283 b,310.4
Kepler-1038,Kepler-1038 c,7.127659798
Kepler-1020,Kepler-1020 b,96.9151496
K2-111,K2-111 c,15.6805
Kepler-1159,Kepler-1159 b,22.70816791
HATS-59,HATS-59 c,1422.0
DMPP-1,DMPP-1 b,18.57
HD 153557,HD 153557 b,7.29903
Kepler-162,Kepler-162 b,6.919798
HD 99109,HD 99109 b,439.29999
HD 22532,HD 22532 b,872.6
Kepler-157,Kepler-157 d,7.02573474
Kepler-180,Kepler-180 c,41.885775
Kepler-399,Kepler-399 d,58.034616
WASP-80,WASP-80 b,3.06785234
Kepler-450,Kepler-450 c,15.413135
Kepler-1599,Kepler-1599 b,122.363553
Kepler-1247,Kepler-1247 b,13.71220213
Kepler-1712,Kepler-1712 b,13.81499958
TOI-4342,TOI-4342 c,10.688716
Kepler-487,Kepler-487 c,38.6519976
Kepler-157,Kepler-157 b,1.732342
Kepler-605,Kepler-605 c,2.358951515
Kepler-412,Kepler-412 b,1.7208604
HD 115404 A,HD 115404 A b,10.49488
Kepler-1468,Kepler-1468 c,3.54553021
Kepler-453,Kepler-453 b,240.503
Kepler-1569,Kepler-1569 b,5.79180156
Kepler-259,Kepler-259 b,8.115317
WASP-15,WASP-15 b,3.7521
K2-154,K2-154 b,3.67626
Kepler-1859,Kepler-1859 b,2.729599953
WASP-36,WASP-36 b,1.53736596
Kepler-26,Kepler-26 b,12.28
DMPP-2,DMPP-2 b,5.2072
TOI-1075,TOI-1075 b,0.6047328
HATS-33,HATS-33 b,2.5495551
Kepler-307,Kepler-307 b,10.4208
HD 206255,HD 206255 b,96.045
Kepler-1950,Kepler-1950 b,10.77690029
TOI-2524,TOI-2524 b,7.18585
NGTS-6,NGTS-6 b,0.882059
Kepler-234,Kepler-234 b,2.711506
Kepler-1100,Kepler-1100 b,6.42200058
HD 4313,HD 4313 b,356.21
Kepler-1038,Kepler-1038 b,148.4603382
Kepler-186,Kepler-186 b,3.8867907
Kepler-249,Kepler-249 d,15.368459
TOI-3785,TOI-3785 b,4.6747373
Kepler-250,Kepler-250 c,7.156804
TOI-125,TOI-125 b,4.65382
TOI-663,TOI-663 b,2.598902
TOI-904,TOI-904 c,83.9997
EPIC 212297394,EPIC 212297394 c,5.213965
Kepler-284,Kepler-284 c,37.514456
Kepler-1397,Kepler-1397 b,47.449955
Kepler-295,Kepler-295 c,21.526258
Kepler-560,Kepler-560 b,18.47764449
Kepler-1254,Kepler-1254 c,3.60084276
Kepler-895,Kepler-895 b,2.806242328
Kepler-1978,Kepler-1978 b,10.84969477
MOA-2009-BLG-266L,MOA-2009-BLG-266L b,2800.0
Kepler-1396,Kepler-1396 b,18.2206421
NGTS-21,NGTS-21 b,1.5433897
